did-unr|unr-file-name|unr-title|unr-desc|date-inst|site-name|site-address|lat-lon|sign-manf|sign-owner|lit-unlit|time-day|subj-fast|print-pub|format|dcmi|prov|proj-name|unr-cit|dig-pub|contrib|int-ext|staff-notes|date-img|title-code|title-full|creator
neo000001|||"Daytime and nighttime views of the Aladdin Hotel Casino and Resort signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|2000|"Aladdin Hotel (Las Vegas, Nev.)"|"3667 Las Vegas Blvd"|||"Aladdin Gaming LLC"||day,night||||||||||||2002|||"Joshua Cannaday"
neo000002|||"Daytime and nighttime views of the Alan Albert's restaurant signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|||"3763 S Las Vegas Blvd"|||||day,night||||||||||||2002|||"Joshua Cannaday"
neo000003|||"Views of the Algiers Hotel signs at dusk on the Strip. Information about the sign is available in the Souther Nevada Neon Survey Data Sheet."|1953|"Algiers Hotel (Las Vegas, Nev.)"|"2845 S Las Vegas Blvd"|||"Larry Kiefer"||||||||||||||2002|||"Joshua Cannaday"
neo000004|||"Daytime and nighttime views of the Arby's and Guinness World of Records Museum signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|||"2776 Las Vegas Blvd, 2780 Las Vegas Blvd"|||"Arby's: Schultzen and Harry Sax, Guinness: ?, Cj's: PDS Gaming used to be Carl Fredrickson"||day,night||||||||||||2002|||"Joshua Cannaday"
neo000005|||"Daytime and nighttime views of the Arco ampm sign on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|3175||"2728 S Las Vegas Blvd"|||||day,night||||||||||||2002|||"Joshua Cannaday"
neo000006|||"Photos show Bally's signs at night and during the day. Two surveys were conducted to gather information about this sign. One was conducted in 2002 and one was conducted in 2017. PDFs are available for both surveys. See the 2017 survey PDF for additional information that is not included in the object description."||"Bally's Las Vegas"|"3645 S Las Vegas Blvd"|||"Park Place Entertainment"||day,night||||||||||||2002|||"Joshua Cannaday"
neo000007|||"Daytime and nighttime views of the Barbary Coast signs on The Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|1977||"3595 Las Vegas Blvd"|||"Coast Casinos"||day,night||||||||||||2002|||"Joshua Cannaday"
neo000008|||"Photos show Battista's signs at night. Two surveys were conducted to gather information about this sign. One was conducted in 2002 and one was conducted in 2017. PDFs are available for both surveys. See the 2017 survey PDF for additional information that is not included in the object description."|||"4041 Audrie St"|||||night||||||||||||2002|||"Joshua Cannaday"
neo000009|||"Photos show Bellagio signs at night. Two surveys were conducted to gather information about this sign. One was conducted in 2002 and one was conducted in 2017. PDFs are available for both surveys. See the 2017 survey PDF for additional information that is not included in the object description."|1998|"Bellagio (Las Vegas, Nev.)"|"3600 S Las Vegas Blvd"|||"MGM Mirage"||night||||||||||||2002|||"Joshua Cannaday"
neo000010|||"Views of the Blue Note club signs on the Las Vegas Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|2000||"3663 S Las Vegas Blvd"|||"Blue Note International: Father & Son team of Danny and Steven Bensusan"||||||||||||||2002|||"Joshua Cannaday"
neo000011|||"Daytime and nighttime views of the Boardwalk Holiday Inn signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|||"3750 S Las Vegas Blvd"|||"MGM Mirage"||day,night||||||||||||2002|||"Joshua Cannaday"
neo000012|||"Nighttime views of the Bourbon Street Hotel and Casino signs. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|1984||"120 E Flamingo Rd"|||"Carma LTD"||night||||||||||||2002|||"Joshua Cannaday"
neo000013|||"Photos show Caesars signs during the day and the porte-cochere at night. Two surveys were conducted to gather information about this sign. One was conducted in 2002 and one was conducted in 2017. PDFs are available for both surveys. See the 2017 survey PDF for additional information that is not included in the object description."|1966|"Caesars Palace (Las Vegas, Nev.)"|"3200 S Las Vegas Blvd"|||"Park Place Entertainment"||day,night||||||||||||2002|||"Joshua Cannaday"
neo000014|||"Daytime and nighttime views of the Candlelight Wedding Chapel sign. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|||"800 S 4th Street"|||||day,night||||||||||||2002|||"Joshua Cannaday"
neo000015|||"Daytime and nighttime views of the Casa Malaga signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|||"4615 S Las Vegas Blvd"|||||day,night||||||||||||2002|||"Joshua Cannaday"
neo000016|||"Daytime and nighttime views of the Casino Royale and Denny's signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|1992||"3419 S Las Vegas Blvd"|||"Tom Elardi"||day,night||||||||||||2002|||"Joshua Cannaday"
neo000017|||"Photos show Circus Circus signs at night. Two surveys were conducted to gather information about this sign. One was conducted in 2002 and one was conducted in 2017. PDFs are available for both surveys. See the 2017 survey PDF for additional information that is not included in the object description"|1976|"Circus Circus (Las Vegas, Nev.)"|"2880 S Las Vegas Blvd"|||"Mandalay Resort Group"||night||||||||||||2002|||"Joshua Cannaday"
neo000018|||"Daytime views of the Desert Oasis motel sign. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|||"4445 Diamond Head Dr"|||"Volunteers of America/HUD"||day||||||||||||2002|||"Joshua Cannaday"
neo000019|||"Nighttime views of the Diamond Inn signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|||"4605 S Las Vegas Blvd"|||||night||||||||||||2002|||"Joshua Cannaday"
neo000020|||"Daytime and nighttime views of the ESPN Zone signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."||"New York-New York Hotel and Casino (Las Vegas, Nev.)"|"3790 S Las Vegas Blvd"|||||day,night||||||||||||2002|||"Joshua Cannaday"
neo000021|||"Photos show Excalibur signs at night. Two surveys were conducted to gather information about this sign. One was conducted in 2002 and one was conducted in 2017. PDFs are available for both surveys. See the 2017 survey PDF for additional information that is not included in the object description"|1989|"Excalibur Hotel and Casino (Las Vegas, Nev.)"|"3850 S Las Vegas Blvd"|||"Mandalay Resort Group"||night||||||||||||2002|||"Joshua Cannaday"
neo000022|||"Daytime and nighttime views of the Fantasia gift shop on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|||"2800 S Las Vegas Blvd"|||||day,night||||||||||||2002|||"Joshua Cannaday"
neo000023|||"Daytime views of the Fatburger signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|||"3763 S Las Vegas Blvd"|||||day||||||||||||2002|||"Joshua Cannaday"
neo000024|||"Photos show Flamingo signs at night. Two surveys were conducted to gather information about this sign. One was conducted in 2002 and one was conducted in 2017. PDFs are available for both surveys. See the 2017 survey PDF for additional information that is not included in the object description."|1968|"Flamingo Hotel and Casino (Las Vegas, Nev.)"|"3555 S Las Vegas Blvd"|||"Park Place Entertainment"||night||||||||||||2002|||"Joshua Cannaday"
neo000025|||"Daytime views of the Frontier Hotel and Casino signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|1967|"Frontier Hotel and Casino"|"3120 S Las Vegas Blvd"|||"Phil Ruffin"||day||||||||||||2002|||"Joshua Cannaday"
neo000026|||"Daytime and nighttime views of the Gameworks' signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|||"3785 S Las Vegas Blvd"|||||day,night||||||||||||2002|||"Joshua Cannaday"
neo000027|||"Daytime views of the Ginseng BBQ signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|||"3765 S Las Vegas Blvd"|||||day||||||||||||2002|||"Joshua Cannaday"
neo000028|||"Daytime views of the Glass Pool Inn signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|1953||"4613 S Las Vegas Blvd"|||||day||||||||||||2002|||"Joshua Cannaday"
neo000029|||"Daytime and nighttime views of the Grand Canyon Experience signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|2000||"3791 S Las Vegas Blvd"|||"M H & K Enterprises"||day,night||||||||||||2002|||"Joshua Cannaday"
neo000030|||"Daytime and nighttime views of the Greek Isles Hotel and Casino signs. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|2000||"305 Convention Center Dr"|||"Mark IV Realty"||day,night||||||||||||2002|||"Joshua Cannaday"
neo000031|||"Evening and nighttime views of the Happi Inn signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|||"3939 S Las Vegas Blvd"|||||night||||||||||||2002|||"Joshua Cannaday"
neo000032|||"Daytime and nighttime views of the Harley Davidson Cafe signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|1999||"3725 S Las Vegas Blvd"|||"Marc Packer"||day,night||||||||||||2002|||"Joshua Cannaday"
neo000033|||"Daytime and nighttime views of the Harrah's Las Vegas Hotel and Casino signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|1995|"Harrah's Las Vegas"|"3475 S Las Vegas Blvd"|||"Harrah's Entertainment"||day,night||||||||||||2002|||"Joshua Cannaday"
neo000034|||"Nighttime views of the Imperial Palace Hotel and Casino signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|1979||"3535 S Las Vegas Blvd"|||"Ralph Engelstad"||night||||||||||||2002|||"Joshua Cannaday"
neo000035|||"Daytime and nighttime views of the Klondike Hotel and Casino signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|1978||"5191 S Las Vegas Blvd"|||||day,night||||||||||||2002|||"Joshua Cannaday"
neo000036|||"Daytime and nighttime views of the La Concha Motel sign on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|||"2955 S Las Vegas Blvd"|||"Edward Doumani"||day,night||||||||||||2002|||"Joshua Cannaday"
neo000037|||"Nighttime views of the Las Vegas Helicopter Tours signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|1996||"3712 S Las Vegas Blvd"|||||night||||||||||||2002|||"Joshua Cannaday"
neo000038|||"Daytime and nighttime views of the Las Vegas World Souvenirs signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|1996||"3710 S Las Vegas Blvd"|||"property leased from MGM Mirage"||day,night||||||||||||2002|||"Joshua Cannaday"
neo000039|||"Daytime views of the Laughing Jackalope motel signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|1997||"3969 S Las Vegas Blvd"|||"Dan, Ron and Randy Horowitz"||day||||||||||||2002|||"Joshua Cannaday"
neo000040|||"Photos show Little Church of the West signs during the day and at night. Two surveys were conducted to gather information about this sign. One was conducted in 2002 and one was conducted in 2017. PDFs are available for both surveys. See the 2017 survey PDF for additional information that is not included in the object description."|1950|"Little Church of the West"|"4617 S  Las Vegas Blvd"|||"Greg Smith"|lit|day,night||||||||||||2002|||"Joshua Cannaday"
neo000041|||"Photos show Luxor signs during the day. Two surveys were conducted to gather information about this sign. One was conducted in 2002 and one was conducted in 2017. PDFs are available for both surveys. See the 2017 survey PDF for additional information that is not included in the object description."||"Luxor (Las Vegas, Nev.)"|"3900 S Las Vegas Blvd"|||"Mandalay Resort Group"||day||||||||||||2002|||"Joshua Cannaday"
neo000042|||"Daytime and nighttime views of Madame Tussaud's museum signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|2000|"Venetian (Las Vegas, Nev.)"|"3377 S Las Vegas Blvd"|||||day,night||||||||||||2002|||"Joshua Cannaday"
neo000043|||"Photos show Mandalay Bay signs during the day and at night. Two surveys were conducted to gather information about this sign. One was conducted in 2002 and one was conducted in 2017. PDFs are available for both surveys. See the 2017 survey PDF for additional information that is not included in the object description."|1999|"Mandalay Bay (Las Vegas, Nev.)"|"3950 S Las Vegas Blvd"|||"Mandalay Resort Group"||day,night||||||||||||2002|||"Joshua Cannaday"
neo000044|||"Daytime views of the Maxim Hotel and Casino signs. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|1977||"160 E Flamingo Rd"|||"Premier Interval Resorts"||day||||||||||||2002|||"Joshua Cannaday"
neo000045|||"Photos show McCarran Field signs during the day. Two surveys were conducted to gather information about this sign. One was conducted in 2002 and one was conducted in 2017. PDFs are available for both surveys. See the 2017 survey PDF for additional information that is not included in the object description."|1948||"6005 S Las Vegas Blvd"|||"McCarran International Airport"||day||||||||||||2002|||"Joshua Cannaday"
neo000046|||"Daytime and evening views of a McDonald's sign on the Strip at 2800 S Las Vegas Blvd. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|||"2800 S Las Vegas Blvd"|||||day||||||||||||2002|||"Joshua Cannaday"
neo000047|||"Daytime and evening views of a McDonald's sign on the Strip at 3755 S Las Vegas Blvd. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|||"3755 S Las Vegas Blvd"|||||day||||||||||||2002|||"Joshua Cannaday"
neo000048|||"Daytime and evening views of a McDonald's sign on the Strip at 3999 S Las Vegas Blvd. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|||"3999 S Las Vegas Blvd"|||||day||||||||||||2002|||"Joshua Cannaday"
neo000049|||"Photos show MGM Grand signs at night. Two surveys were conducted to gather information about this sign. One was conducted in 2002 and one was conducted in 2017. PDFs are available for both surveys. See the 2017 survey PDF for additional information that is not included in the object description."|1993|"MGM Grand Hotel and Casino"|"3799 S Las Vegas Blvd"|||"MGM Mirage"||night||||||||||||2002|||"Joshua Cannaday"
neo000050|||"Photos show Mirage signs during the daytime. Two surveys were conducted to gather information about this sign. One was conducted in 2002 and one was conducted in 2017. PDFs are available for both surveys. See the 2017 survey PDF for additional information that is not included in the object description."|1989|"Mirage (Las Vegas, Nev.)"|"3400 S Las Vegas Blvd"|||"MGM Mirage"||day||||||||||||2002|||"Joshua Cannaday"
neo000051|||"Photos show Monte Carlo signs during the day. Two surveys were conducted to gather information about this sign. One was conducted in 2002 and one was conducted in 2017. PDFs are available for both surveys. See the 2017 survey PDF for additional information that is not included in the object description."|1995|"Monte Carlo Resort and Casino (Las Vegas, Nev.)"|"3770 S Las Vegas Blvd"|||"Mandalay Resort Group (50%), MGM Mirage (50%)-Mandalay manages the property"||day||||||||||||2002|||"Joshua Cannaday"
neo000052|||"Nighttime views of the Motel 8 signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|||"3961 S Las Vegas Blvd"|||||night||||||||||||2002|||"Joshua Cannaday"
neo000053|||"Views of the NASCAR Cafe signs at dusk on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|2000|"Sahara Hotel and Casino (Las Vegas, Nev.)"|"2535 S Las Vegas Blvd"|||||||||||||||||2002|||"Joshua Cannaday"
neo000054|||"Photos show New York New York signs at night. Two surveys were conducted to gather information about this sign. One was conducted in 2002 and one was conducted in 2017. PDFs are available for both surveys. See the 2017 survey PDF for additional information that is not included in the object description."|1997|"New York-New York Hotel and Casino (Las Vegas, Nev.)"|"3790 S Las Vegas Blvd"|||"MGM Mirage"||night||||||||||||2002|||"Joshua Cannaday"
neo000055|||"Daytime views of the Official Tourist Bureau and Viva Vegas Gifts signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|||"3734 S Las Vegas Blvd"|||||day||||||||||||2002|||"Joshua Cannaday"
neo000056|||"Daytime views of the O'Sheas Casino signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|1989||"3555 S Las Vegas Blvd"|||"Park Place Entertainment"||day||||||||||||2002|||"Joshua Cannaday"
neo000057|||"Photos show Paris signs during the day and at night. Two surveys were conducted to gather information about this sign. One was conducted in 2002 and one was conducted in 2017. PDFs are available for both surveys. See the 2017 survey PDF for additional information that is not included in the object description."|1997|"Paris Las Vegas Hotel & Casino"|"3655 S Las Vegas Blvd"|||"Park Place Entertainment"||day,night||||||||||||2002|||"Joshua Cannaday"
neo000058|||"Photos show Peppermill signs during the day. Two surveys were conducted to gather information about this sign. One was conducted in 2002 and one was conducted in 2017. PDFs are available for both surveys. See the 2017 survey PDF for additional information that is not included in the object description."|||"2985 S Las Vegas Blvd"|||||day||||||||||||2002|||"Joshua Cannaday"
neo000059|||"Daytime views of the Pit Stop signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|||"3951 S Las Vegas Blvd"|||||day||||||||||||2002|||"Joshua Cannaday"
neo000060|||"Photo shows a daytime view of the Pollyanna Inn sign on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|||"4915 S Las Vegas Blvd"|||||day||||||||||||2002|||"Joshua Cannaday"
neo000061|||"Daytime and nighttime views of the Polo Towers signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|1985||"3745 S Las Vegas Blvd"|||||day,night||||||||||||2002|||"Joshua Cannaday"
neo000062|||"Evening views of the Psychic Sessions signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|||"3941 S Las Vegas Blvd"|||||||||||||||||2002|||"Joshua Cannaday"
neo000063|||"Nighttime views of the Riviera Hotel and Casino signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|1988|"Riviera Hotel and Casino (Las Vegas, Nev.)"|"2901 S Las Vegas Blvd"|||"Riveria Holdings Corporation"||night||||||||||||2002|||"Joshua Cannaday"
neo000064|||"Daytime and nighttime views of the Rosewood Grille signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|||"3335 S Las Vegas Blvd"|||"Alan and Kevin LeWinter"||day,night||||||||||||2002|||"Joshua Cannaday"
neo000065|||"Daytime and nighttime views of the Royal Hotel and Casino on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|||"55 Convention Center Dr"|||||day,night||||||||||||2002|||"Joshua Cannaday"
neo000066|||"Nighttime views of the Sahara Hotel and Casino signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|1996|"Sahara Hotel and Casino (Las Vegas, Nev.)"|"2535 S Las Vegas Blvd"|||"William Bennett"||night||||||||||||2002|||"Joshua Cannaday"
neo000067|||"Photo shows a nighttime view of the Seven sign on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|||"3724 S Las Vegas Blvd"|||||night||||||||||||2002|||"Joshua Cannaday"
neo000068|||"Nighttime views of the Showcase Plaza signs. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|||"3785 S Las Vegas Blvd"|||||night||||||||||||2002|||"Joshua Cannaday"
neo000069|||"Daytime views of the Silver City casino signs on the Strip. Information about the sign is available in the Southern Nevada Neon Survey Data Sheet."|||"3001 S Las Vegas Blvd"|||||day||||||||||||2002|||"Joshua Cannaday"
